word,times,first_date,last_date,first_president,last_president
'recommendations,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
'reform,1,1829-03-04,1829-03-04,Andrew Jackson,Andrew Jackson
'resolved,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'resolves,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'revenue,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
'revolutionary,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'right,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
's,46,1797-03-04,2021-01-20,John Adams,Joseph R. Biden
'self'-government,1,1877-03-05,1877-03-05,Rutherford B. Hayes,Rutherford B. Hayes
'subjects,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
'til,1,2009-01-20,2009-01-20,Barack Obama,Barack Obama
've,6,1981-01-20,2021-01-20,Ronald Reagan,Joseph R. Biden
'well,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'will,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'wrong,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'you,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
'your,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
1,2,1929-03-04,1953-01-20,Herbert Hoover,Dwight D. Eisenhower
"100,000,000",1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
108,1,2021-01-20,2021-01-20,Joseph R. Biden,Joseph R. Biden
"120,000,000",1,1821-03-04,1821-03-04,James Monroe,James Monroe
125,1,1901-03-04,1901-03-04,William McKinley,William McKinley
13,1,1985-01-21,1985-01-21,Ronald Reagan,Ronald Reagan
14th,1,1789-04-30,1789-04-30,George Washington,George Washington
15th,2,1897-03-04,1909-03-04,William McKinley,William Howard Taft
16,2,1929-03-04,1949-01-20,Herbert Hoover,Harry S. Truman
1774,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
1776,3,1861-03-04,2013-01-21,Abraham Lincoln,Barack Obama
1778,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
1780,1,1881-03-04,1881-03-04,James A. Garfield,James A. Garfield
1787,4,1861-03-04,1945-01-20,Abraham Lincoln,Franklin D. Roosevelt
1789,3,1889-03-04,1977-01-20,Benjamin Harrison,Jimmy Carter
1789-words,1,1941-01-20,1941-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
1790,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
1800,1,1985-01-21,1985-01-21,Ronald Reagan,Ronald Reagan
1801,1,1821-03-04,1821-03-04,James Monroe,James Monroe
1812,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
1815,1,1821-03-04,1821-03-04,James Monroe,James Monroe
1816,1,1821-03-04,1821-03-04,James Monroe,James Monroe
1817,1,1821-03-04,1821-03-04,James Monroe,James Monroe
1818,1,1821-03-04,1821-03-04,James Monroe,James Monroe
1826,1,1985-01-21,1985-01-21,Ronald Reagan,Ronald Reagan
1850,1,1853-03-04,1853-03-04,Franklin Pierce,Franklin Pierce
1861,2,1873-03-04,1901-03-04,Ulysses S. Grant,William McKinley
1863,1,2021-01-20,2021-01-20,Joseph R. Biden,Joseph R. Biden
1868,1,1873-03-04,1873-03-04,Ulysses S. Grant,Ulysses S. Grant
1873,1,1877-03-05,1877-03-05,Rutherford B. Hayes,Rutherford B. Hayes
1880,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
1886,1,1897-03-04,1897-03-04,William McKinley,William McKinley
1890,1,1897-03-04,1897-03-04,William McKinley,William McKinley
1893,1,1897-03-04,1897-03-04,William McKinley,William McKinley
1896,1,1901-03-04,1901-03-04,William McKinley,William McKinley
1897,2,1897-03-04,1901-03-04,William McKinley,William McKinley
1898,1,1901-03-04,1901-03-04,William McKinley,William McKinley
1899,1,1901-03-04,1901-03-04,William McKinley,William McKinley
18th,2,1929-03-04,1997-01-20,Herbert Hoover,William J. Clinton
1907,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
1917,1,1981-01-20,1981-01-20,Ronald Reagan,Ronald Reagan
1919,1,1929-03-04,1929-03-04,Herbert Hoover,Herbert Hoover
1933,1,1937-01-20,1937-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
1941,1,1941-01-20,1941-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
1945,1,1945-01-20,1945-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
1972,1,1973-01-20,1973-01-20,Richard Nixon,Richard Nixon
1980,1,1985-01-21,1985-01-21,Ronald Reagan,Ronald Reagan
1984,1,1985-01-21,1985-01-21,Ronald Reagan,Ronald Reagan
19th,1,1997-01-20,1997-01-20,William J. Clinton,William J. Clinton
2,2,1929-03-04,1953-01-20,Herbert Hoover,Dwight D. Eisenhower
20,3,1901-03-04,2017-01-20,William McKinley,Donald J. Trump
"20,000",1,1821-03-04,1821-03-04,James Monroe,James Monroe
200,2,1989-01-20,2013-01-21,George Bush,Barack Obama
200th,2,1969-01-20,1973-01-20,Richard Nixon,Richard Nixon
2017,1,2017-01-20,2017-01-20,Donald J. Trump,Donald J. Trump
20th,2,1821-03-04,1997-01-20,James Monroe,William J. Clinton
21st,2,1993-01-20,1997-01-20,William J. Clinton,William J. Clinton
225,1,2001-01-20,2001-01-20,George W. Bush,George W. Bush
25,1,1985-01-21,1985-01-21,Ronald Reagan,Ronald Reagan
3,2,1929-03-04,1953-01-20,Herbert Hoover,Dwight D. Eisenhower
30,1,1965-01-20,1965-01-20,Lyndon B. Johnson,Lyndon B. Johnson
30th,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
3d,1,1821-03-04,1821-03-04,James Monroe,James Monroe
4,6,1953-01-20,2017-01-20,Dwight D. Eisenhower,Donald J. Trump
"4,000,000",1,1877-03-05,1877-03-05,Rutherford B. Hayes,Rutherford B. Hayes
4-year,1,1981-01-20,1981-01-20,Ronald Reagan,Ronald Reagan
40,1,2013-01-21,2013-01-21,Barack Obama,Barack Obama
400,2,2013-01-21,2021-01-20,Barack Obama,Joseph R. Biden
"400,000",1,2021-01-20,2021-01-20,Joseph R. Biden,Joseph R. Biden
"41,000,000",1,1901-03-04,1901-03-04,William McKinley,William McKinley
48,1,1941-01-20,1941-01-20,Franklin D. Roosevelt,Franklin D. Roosevelt
4th,1,1901-03-04,1901-03-04,William McKinley,William McKinley
5,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
"5,000,000",1,1881-03-04,1881-03-04,James A. Garfield,James A. Garfield
50,2,1925-03-04,1985-01-21,Calvin Coolidge,Ronald Reagan
50th,1,1985-01-21,1985-01-21,Ronald Reagan,Ronald Reagan
6,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
60,2,1985-01-21,2009-01-20,Ronald Reagan,Barack Obama
"67,000,000",1,1821-03-04,1821-03-04,James Monroe,James Monroe
6th,1,1901-03-04,1901-03-04,William McKinley,William McKinley
7,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
71st,1,1929-03-04,1929-03-04,Herbert Hoover,Herbert Hoover
8,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
9,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
9/11,1,2021-01-20,2021-01-20,Joseph R. Biden,Joseph R. Biden
a,61,1789-04-30,2021-01-20,George Washington,Joseph R. Biden
abandon,7,1801-03-04,2005-01-20,Thomas Jefferson,George W. Bush
abandoned,5,1797-03-04,2009-01-20,John Adams,Barack Obama
abandonment,4,1885-03-04,2001-01-20,Grover Cleveland,George W. Bush
abate,1,1901-03-04,1901-03-04,William McKinley,William McKinley
abdicated,1,1933-03-04,1933-03-04,Franklin D. Roosevelt,Franklin D. Roosevelt
abeyance,1,1869-03-04,1869-03-04,Ulysses S. Grant,Ulysses S. Grant
abhorring,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
abide,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
abiding,7,1837-03-04,1977-01-20,Martin van Buren,Jimmy Carter
abilities,5,1829-03-04,1949-01-20,Andrew Jackson,Harry S. Truman
ability,20,1821-03-04,2009-01-20,James Monroe,Barack Obama
abject,1,1893-03-04,1893-03-04,Grover Cleveland,Grover Cleveland
able,14,1805-03-04,1993-01-20,Thomas Jefferson,William J. Clinton
ably,1,1857-03-04,1857-03-04,James Buchanan,James Buchanan
abnormal,1,1921-03-04,1921-03-04,Warren G. Harding,Warren G. Harding
abode,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
abodes,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
abolish,2,1837-03-04,1961-01-20,Martin van Buren,John F. Kennedy
abolished,3,1841-04-09,1997-01-20,John Tyler,William J. Clinton
abolishing,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
aboriginal,5,1797-03-04,1841-03-04,John Adams,William Henry Harrison
aborigines,1,1873-03-04,1873-03-04,Ulysses S. Grant,Ulysses S. Grant
abound,1,1957-01-21,1957-01-21,Dwight D. Eisenhower,Dwight D. Eisenhower
abounding,1,1929-03-04,1929-03-04,Herbert Hoover,Herbert Hoover
abounds,1,1813-03-04,1813-03-04,James Madison,James Madison
about,33,1793-03-04,2021-01-20,George Washington,Joseph R. Biden
above,18,1801-03-04,2013-01-21,Thomas Jefferson,Barack Obama
abraham,4,1905-03-04,2021-01-20,Theodore Roosevelt,Joseph R. Biden
abreast,2,1889-03-04,1937-01-20,Benjamin Harrison,Franklin D. Roosevelt
abridging,1,1837-03-04,1837-03-04,Martin van Buren,Martin van Buren
abroad,18,1797-03-04,2013-01-21,John Adams,Barack Obama
absence,5,1841-03-04,1937-01-20,William Henry Harrison,Franklin D. Roosevelt
absent,2,1837-03-04,1985-01-21,Martin van Buren,Ronald Reagan
absolute,9,1801-03-04,1977-01-20,Thomas Jefferson,Jimmy Carter
absolutely,3,1857-03-04,1925-03-04,James Buchanan,Calvin Coolidge
absolutism,1,2013-01-21,2013-01-21,Barack Obama,Barack Obama
absorb,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
absorbed,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
absorbing,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
absorbs,1,1865-03-04,1865-03-04,Abraham Lincoln,Abraham Lincoln
abstain,3,1841-04-09,1849-03-05,John Tyler,Zachary Taylor
abstaining,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
abstract,1,1853-03-04,1853-03-04,Franklin Pierce,Franklin Pierce
abstractions,1,1953-01-20,1953-01-20,Dwight D. Eisenhower,Dwight D. Eisenhower
absurd,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
abundance,5,1913-03-04,1973-01-20,Woodrow Wilson,Richard Nixon
abundant,6,1817-03-04,1985-01-21,James Monroe,Ronald Reagan
abundantly,3,1837-03-04,1965-01-20,Martin van Buren,Lyndon B. Johnson
abuse,6,1825-03-04,2001-01-20,John Quincy Adams,George W. Bush
abused,2,1845-03-04,1909-03-04,James K. Polk,William Howard Taft
abuses,11,1797-03-04,1929-03-04,John Adams,Herbert Hoover
academies,1,1797-03-04,1797-03-04,John Adams,John Adams
accept,19,1841-03-04,2017-01-20,William Henry Harrison,Donald J. Trump
acceptance,5,1849-03-05,1929-03-04,Zachary Taylor,Herbert Hoover
accepted,8,1821-03-04,2005-01-20,James Monroe,George W. Bush
accepting,3,1857-03-04,1881-03-04,James Buchanan,James A. Garfield
accepts,1,1929-03-04,1929-03-04,Herbert Hoover,Herbert Hoover
access,3,1857-03-04,1873-03-04,James Buchanan,Ulysses S. Grant
accessible,3,1817-03-04,1917-03-05,James Monroe,Woodrow Wilson
accession,4,1841-03-04,1889-03-04,William Henry Harrison,Benjamin Harrison
accident,1,1913-03-04,1913-03-04,Woodrow Wilson,Woodrow Wilson
accidental,1,1961-01-20,1961-01-20,John F. Kennedy,John F. Kennedy
accidents,1,1797-03-04,1797-03-04,John Adams,John Adams
acclaim,1,1921-03-04,1921-03-04,Warren G. Harding,Warren G. Harding
accommodation,1,1809-03-04,1809-03-04,James Madison,James Madison
accommodations,1,1821-03-04,1821-03-04,James Monroe,James Monroe
accompanied,3,1841-03-04,1905-03-04,William Henry Harrison,Theodore Roosevelt
accompany,1,1837-03-04,1837-03-04,Martin van Buren,Martin van Buren
accomplish,9,1817-03-04,1949-01-20,James Monroe,Harry S. Truman
accomplished,15,1789-04-30,1985-01-21,George Washington,Ronald Reagan
accomplishing,4,1817-03-04,1933-03-04,James Monroe,Franklin D. Roosevelt
accomplishment,7,1841-03-04,2001-01-20,William Henry Harrison,George W. Bush
accomplishments,1,1929-03-04,1929-03-04,Herbert Hoover,Herbert Hoover
accomplishments-but,1,1977-01-20,1977-01-20,Jimmy Carter,Jimmy Carter
accord,5,1817-03-04,1921-03-04,James Monroe,Warren G. Harding
accordance,7,1837-03-04,1921-03-04,Martin van Buren,Warren G. Harding
accorded,1,1885-03-04,1885-03-04,Grover Cleveland,Grover Cleveland
according,9,1797-03-04,1877-03-05,John Adams,Rutherford B. Hayes
accordingly,2,1789-04-30,1957-01-21,George Washington,Dwight D. Eisenhower
accords,1,1897-03-04,1897-03-04,William McKinley,William McKinley
account,8,1817-03-04,2009-01-20,James Monroe,Barack Obama
accountability,7,1825-03-04,1929-03-04,John Quincy Adams,Herbert Hoover
accountable,2,1841-03-04,1901-03-04,William Henry Harrison,William McKinley
accounted,2,1869-03-04,1925-03-04,Ulysses S. Grant,Calvin Coolidge
accounting,1,2021-01-20,2021-01-20,Joseph R. Biden,Joseph R. Biden
accrue,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
accrued,1,1897-03-04,1897-03-04,William McKinley,William McKinley
accruing,1,1805-03-04,1805-03-04,Thomas Jefferson,Thomas Jefferson
accumulate,1,2001-01-20,2001-01-20,George W. Bush,George W. Bush
accumulated,1,1853-03-04,1853-03-04,Franklin Pierce,Franklin Pierce
accumulation,3,1841-03-04,1905-03-04,William Henry Harrison,Theodore Roosevelt
accurately,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
accustom,1,1833-03-04,1833-03-04,Andrew Jackson,Andrew Jackson
acerbity,1,1841-04-09,1841-04-09,John Tyler,John Tyler
achieve,13,1853-03-04,2009-01-20,Franklin Pierce,Barack Obama
achieved,7,1833-03-04,2005-01-20,Andrew Jackson,George W. Bush
achievement,10,1893-03-04,2005-01-20,Grover Cleveland,George W. Bush
achievements,8,1845-03-04,2005-01-20,James K. Polk,George W. Bush
achieving,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
acility,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
acknowledge,6,1789-04-30,1873-03-04,George Washington,Ulysses S. Grant
acknowledged,7,1805-03-04,1853-03-04,Thomas Jefferson,Franklin Pierce
acknowledging,2,1801-03-04,1885-03-04,Thomas Jefferson,Grover Cleveland
acknowledgment,1,1905-03-04,1905-03-04,Theodore Roosevelt,Theodore Roosevelt
acquaintance,1,1873-03-04,1873-03-04,Ulysses S. Grant,Ulysses S. Grant
acquainted,2,1825-03-04,1841-03-04,John Quincy Adams,William Henry Harrison
acquiesce,3,1841-04-09,1861-03-04,John Tyler,Abraham Lincoln
acquiesced,2,1869-03-04,1909-03-04,Ulysses S. Grant,William Howard Taft
acquiescence,6,1801-03-04,1893-03-04,Thomas Jefferson,Grover Cleveland
acquire,2,1857-03-04,1953-01-20,James Buchanan,Dwight D. Eisenhower
acquired,4,1797-03-04,1857-03-04,John Adams,James Buchanan
acquires,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
acquiring,1,1885-03-04,1885-03-04,Grover Cleveland,Grover Cleveland
acquisition,5,1805-03-04,1873-03-04,Thomas Jefferson,Ulysses S. Grant
acquisitions,2,1801-03-04,1857-03-04,Thomas Jefferson,James Buchanan
acquit,1,1789-04-30,1789-04-30,George Washington,George Washington
acquitted,1,1841-04-09,1841-04-09,John Tyler,John Tyler
acrimony,1,1997-01-20,1997-01-20,William J. Clinton,William J. Clinton
across,15,1857-03-04,2021-01-20,James Buchanan,Joseph R. Biden
act,29,1789-04-30,2021-01-20,George Washington,Joseph R. Biden
acted,8,1805-03-04,2021-01-20,Thomas Jefferson,Joseph R. Biden
acting,8,1841-03-04,2013-01-21,William Henry Harrison,Barack Obama
action,31,1805-03-04,2017-01-20,Thomas Jefferson,Donald J. Trump
actions,9,1797-03-04,1969-01-20,John Adams,Richard Nixon
active,6,1841-04-09,1929-03-04,John Tyler,Herbert Hoover
actively,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
activism,1,1989-01-20,1989-01-20,George Bush,George Bush
activities,5,1893-03-04,1933-03-04,Grover Cleveland,Franklin D. Roosevelt
activity,5,1817-03-04,1949-01-20,James Monroe,Harry S. Truman
acts,14,1821-03-04,2005-01-20,James Monroe,George W. Bush
actual,8,1789-04-30,1925-03-04,George Washington,Calvin Coolidge
actually,3,1837-03-04,1861-03-04,Martin van Buren,Abraham Lincoln
actuate,1,1789-04-30,1789-04-30,George Washington,George Washington
actuated,2,1837-03-04,1877-03-05,Martin van Buren,Rutherford B. Hayes
acute,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
adams,1,1985-01-21,1985-01-21,Ronald Reagan,Ronald Reagan
adaptation,1,1841-04-09,1841-04-09,John Tyler,John Tyler
adapted,7,1797-03-04,1929-03-04,John Adams,Herbert Hoover
add,16,1789-04-30,2021-01-20,George Washington,Joseph R. Biden
added,8,1797-03-04,1965-01-20,John Adams,Lyndon B. Johnson
addiction,1,1989-01-20,1989-01-20,George Bush,George Bush
adding,2,1841-03-04,1845-03-04,William Henry Harrison,James K. Polk
addition,4,1789-04-30,1949-01-20,George Washington,Harry S. Truman
additional,8,1817-03-04,1929-03-04,James Monroe,Herbert Hoover
additions,1,1897-03-04,1897-03-04,William McKinley,William McKinley
address,9,1809-03-04,1941-01-20,James Madison,Franklin D. Roosevelt
addressed,4,1789-04-30,1969-01-20,George Washington,Richard Nixon
addresses,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
addressing,2,1825-03-04,1981-01-20,John Quincy Adams,Ronald Reagan
adds,4,1805-03-04,1885-03-04,Thomas Jefferson,Grover Cleveland
adduced,1,1857-03-04,1857-03-04,James Buchanan,James Buchanan
add—let,1,2021-01-20,2021-01-20,Joseph R. Biden,Joseph R. Biden
adequate,14,1817-03-04,1985-01-21,James Monroe,Ronald Reagan
adequately,3,1837-03-04,1929-03-04,Martin van Buren,Herbert Hoover
adhere,4,1877-03-05,1929-03-04,Rutherford B. Hayes,Herbert Hoover
adhered,1,1821-03-04,1821-03-04,James Monroe,James Monroe
adherence,6,1837-03-04,1929-03-04,Martin van Buren,Herbert Hoover
adheres,1,1949-01-20,1949-01-20,Harry S. Truman,Harry S. Truman
adjective,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
adjunct,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
adjust,6,1861-03-04,1977-01-20,Abraham Lincoln,Jimmy Carter
adjusted,4,1821-03-04,1889-03-04,James Monroe,Benjamin Harrison
adjusting,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
adjustment,8,1829-03-04,1901-03-04,Andrew Jackson,William McKinley
adjustments,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
administer,9,1805-03-04,1929-03-04,Thomas Jefferson,Herbert Hoover
administered,9,1817-03-04,1897-03-04,James Monroe,William McKinley
administering,3,1829-03-04,1905-03-04,Andrew Jackson,Theodore Roosevelt
administrated,1,1897-03-04,1897-03-04,William McKinley,William McKinley
administration,35,1789-04-30,2017-01-20,George Washington,Donald J. Trump
administrations,6,1801-03-04,1909-03-04,Thomas Jefferson,William Howard Taft
administrative,5,1825-03-04,1921-03-04,John Quincy Adams,Warren G. Harding
administrators,1,1925-03-04,1925-03-04,Calvin Coolidge,Calvin Coolidge
admirable,2,1845-03-04,1857-03-04,James K. Polk,James Buchanan
admirably,1,1913-03-04,1913-03-04,Woodrow Wilson,Woodrow Wilson
admiration,4,1797-03-04,1937-01-20,John Adams,Franklin D. Roosevelt
admission,5,1841-03-04,1909-03-04,William Henry Harrison,William Howard Taft
admissions,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
admit,5,1817-03-04,1937-01-20,James Monroe,Franklin D. Roosevelt
admitted,11,1797-03-04,1933-03-04,John Adams,Franklin D. Roosevelt
admitting,1,1853-03-04,1853-03-04,Franklin Pierce,Franklin Pierce
admonish,2,1817-03-04,1901-03-04,James Monroe,William McKinley
admonished,2,1821-03-04,1833-03-04,James Monroe,Andrew Jackson
admonishes,1,1829-03-04,1829-03-04,Andrew Jackson,Andrew Jackson
admonition,4,1817-03-04,1977-01-20,James Monroe,Jimmy Carter
admonitions,1,1849-03-05,1849-03-05,Zachary Taylor,Zachary Taylor
adopt,10,1789-04-30,1925-03-04,George Washington,Calvin Coolidge
adopted,12,1797-03-04,1973-01-20,John Adams,Richard Nixon
adopting,1,1877-03-05,1877-03-05,Rutherford B. Hayes,Rutherford B. Hayes
adoption,12,1797-03-04,1933-03-04,John Adams,Franklin D. Roosevelt
adore,1,1789-04-30,1789-04-30,George Washington,George Washington
adoring,1,1801-03-04,1801-03-04,Thomas Jefferson,Thomas Jefferson
adorn,1,1789-04-30,1789-04-30,George Washington,George Washington
adorns,1,1853-03-04,1853-03-04,Franklin Pierce,Franklin Pierce
advance,22,1801-03-04,2013-01-21,Thomas Jefferson,Barack Obama
advanced,10,1789-04-30,1941-01-20,George Washington,Franklin D. Roosevelt
advancement,10,1789-04-30,1929-03-04,George Washington,Herbert Hoover
advances,4,1805-03-04,1969-01-20,Thomas Jefferson,Richard Nixon
advancing,8,1801-03-04,2009-01-20,Thomas Jefferson,Barack Obama
advantage,14,1789-04-30,1993-01-20,George Washington,William J. Clinton
advantageous,3,1821-03-04,1897-03-04,James Monroe,William McKinley
advantageously,2,1789-04-30,1817-03-04,George Washington,James Monroe
advantages,10,1817-03-04,1925-03-04,James Monroe,Calvin Coolidge
adventure,1,1969-01-20,1969-01-20,Richard Nixon,Richard Nixon
adventurers,1,1821-03-04,1821-03-04,James Monroe,James Monroe
adventurously,1,1845-03-04,1845-03-04,James K. Polk,James K. Polk
adversaries,6,1969-01-20,2021-01-20,Richard Nixon,Joseph R. Biden
adversary,2,1813-03-04,1961-01-20,James Madison,John F. Kennedy
adverse,4,1817-03-04,1889-03-04,James Monroe,Benjamin Harrison
adverted,1,1821-03-04,1821-03-04,James Monroe,James Monroe
advice,5,1841-03-04,1949-01-20,William Henry Harrison,Harry S. Truman
advisable,2,1821-03-04,1869-03-04,James Monroe,Ulysses S. Grant
advised,1,1901-03-04,1901-03-04,William McKinley,William McKinley
advisers,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
advisory,1,1929-03-04,1929-03-04,Herbert Hoover,Herbert Hoover
advocacy,3,1853-03-04,1909-03-04,Franklin Pierce,William Howard Taft
advocate,2,1877-03-05,1925-03-04,Rutherford B. Hayes,Calvin Coolidge
advocated,3,1925-03-04,1949-01-20,Calvin Coolidge,Harry S. Truman
advocates,1,1841-03-04,1841-03-04,William Henry Harrison,William Henry Harrison
aegis,3,1805-03-04,1845-03-04,Thomas Jefferson,James K. Polk
affairs,27,1789-04-30,2017-01-20,George Washington,Donald J. Trump
affect,6,1821-03-04,1993-01-20,James Monroe,William J. Clinton
affected,5,1789-04-30,1917-03-05,George Washington,Woodrow Wilson
affecting,10,1817-03-04,1949-01-20,James Monroe,Harry S. Truman
affection,8,1801-03-04,1985-01-21,Thomas Jefferson,Ronald Reagan
affectionate,3,1789-04-30,1885-03-04,George Washington,Grover Cleveland
affections,6,1789-04-30,1861-03-04,George Washington,Abraham Lincoln
affiliation,1,1897-03-04,1897-03-04,William McKinley,William McKinley
affirm,3,1861-03-04,2013-01-21,Abraham Lincoln,Barack Obama
affirmation,1,1977-01-20,1977-01-20,Jimmy Carter,Jimmy Carter
affirmations,1,1861-03-04,1861-03-04,Abraham Lincoln,Abraham Lincoln
affirmed,1,1909-03-04,1909-03-04,William Howard Taft,William Howard Taft
affirms,2,1853-03-04,1957-01-21,Franklin Pierce,Dwight D. Eisenhower
afflict,1,1877-03-05,1877-03-05,Rutherford B. Hayes,Rutherford B. Hayes
affliction,1,1981-01-20,1981-01-20,Ronald Reagan,Ronald Reagan
afford,17,1805-03-04,2013-01-21,Thomas Jefferson,Barack Obama
afforded,8,1817-03-04,1913-03-04,James Monroe,Woodrow Wilson
affording,2,1825-03-04,1841-03-04,John Quincy Adams,William Henry Harrison
affords,1,1821-03-04,1821-03-04,James Monroe,James Monroe
afghanistan,1,2009-01-20,2009-01-20,Barack Obama,Barack Obama
afield,1,1889-03-04,1889-03-04,Benjamin Harrison,Benjamin Harrison
afloat,1,1857-03-04,1857-03-04,James Buchanan,James Buchanan
afraid,3,1905-03-04,1969-01-20,Theodore Roosevelt,Richard Nixon
afresh,2,1921-03-04,2021-01-20,Warren G. Harding,Joseph R. Biden
africa,2,1957-01-21,2013-01-21,Dwight D. Eisenhower,Barack Obama
african,1,1825-03-04,1825-03-04,John Quincy Adams,John Quincy Adams
african-americans,1,1997-01-20,1997-01-20,William J. Clinton,William J. Clinton
after,25,1797-03-04,2021-01-20,John Adams,Joseph R. Biden
aftermath,1,1921-03-04,1921-03-04,Warren G. Harding,Warren G. Harding
