"company","address","businessType","numberAffected","totalEmployees","union","noticeDate","closingDate","reasonDislocation","reason","url","location","longitude","latitude"
"Featherstone Foods, Inc.","1164 E. 156th Street, Bronx, NY 10474","Food products supplier","99","99","The employees are not represented by a union.","12/2/2019","-----","Acquisition of Featherstone Foods, Inc. by Featherstone Distribution, LLC.","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7016","1164 E 156th St, The Bronx, NY 10474, USA",40.8125209,-73.8933661
"Crosstex International, Inc. (Cantel) Phase 3","10 Ranick Road, Hauppauge, NY 11788","Dental equipment distribution and manufacturing","13","88","The employees are not represented by a union.","11/27/2019","-----","Restructuring which will involve the relocation of certain dental equipment distribution and manufacturing operations to Rush, NY.","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7017","10 Ranick Rd, Hauppauge, NY 11788, USA",40.8090382,-73.2294463
"Ibase Operations Corp. 'dba' Qualitest","111 8th Ave, New York, NY 10011","Independent software testing & Quality Assurance Service","63","63","The employees are not represented by a union.","10/22/2019","February 28, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7019","111 8th Ave, New York, NY 10011, USA",40.7414688,-74.0033873
"ACCO Brands USA LLC","941 Acco Way, Ogdensburg, NY 13669","Manufacturing operations","54","100","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 4-503","9/23/2019","1/24/2020","Termination of Manufacturing Operations","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=7013","941 Acco Way, Ogdensburg, NY 13669, USA",44.7214577,-75.4353317
"Oakwood Worldwide (US) LP","888 Sixth Avenue, Suite 305, New York, NY 10017","Providing temporary and long-term housing accommodations for relocated individuals and corporate officials.","21","21 (total at both sites)","New York Hotel & Motel Trades Council","12/3/2019","March 2, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7014","888 6th Ave #305, New York, NY 10001, USA",40.7481543,-73.9886899
"Distinctive Maintenance Partners, LLC","851 Tinton Avenue, Bronx, NY 10456","Cleaning Services","118","-----","The employees are not represented by a union.","11/27/2019","-----","Non-renewal of service contract with Acacia Housing Network Inc.","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7015","851 Tinton Ave, The Bronx, NY 10456, USA",40.8206168,-73.9041578
"PrimeFlight Aviation Services, Inc.","John F. Kennedy International Airport, Queens, NY 11430","Provides airline, aircraft, airport services","450","450","Service Employees International Union Local 32BJ (SEIU)","11/25/2019","3/1/2020","Loss of contract with JetBlue Airway Corporation at John F. Kennedy International Airport","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=7008","John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",40.6413111,-73.7781391
"Jet.com Inc. (Walmart)","1055 Bronx River Ave, Bronx, NY 10472","Online grocery services","160","160","The employees are not represented by a union.","11/22/2019","2/28/2020","Economic","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=7009","1055 Bronx River Ave, The Bronx, NY 10472, USA",40.8240854,-73.8836213
"WeWork Companies, Inc.","115 W 18th St., New York, NY 10011","Commercial real estate company","414","898 (total employees for all affected sites)","The employees are not represented by a union.","11/22/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7010","115 W 18th St, New York, NY 10011, USA",40.740273,-73.9956879
"Salisbury Hotel","123 West 57th Street, New York, NY 10019","Hotel","87","87","New York Hotel and Motel Trades Council, AFL-CIO (Local 6)","11/22/2019","2/20/2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7011","123 W 57th St, New York, NY 10019, USA",40.7651285,-73.9783656
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","1","178","The employee is not represented by a union.","11/25/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7012","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)","560 Fifth Avenue, 3rd Floor, New York, NY 10036","Restaurants","45","45","The employees are not represented by a union.","7/13/2018","3/31/2020","Expiration of lease","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7006","560 5th Ave 3rd Floor, New York, NY 10036, USA",40.7560789,-73.9794056
"Home Box Office. Inc.","30 Hudson Yards, New York, NY 10001","American premium channel owned by the Home Box Office, Inc.","15","1,173","The employees are not represented by a union.","11/14/2019","-----","Merger","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7001","30 Hudson Yards, New York, NY 10001, USA",40.7541644,-74.0009082
"Residential Treatment Center and Learning Center, Lutheran  Social Services Group, Inc. (Gustavus Adoiphus Child and Family Services, Inc.)","715 Falconer Avenue, Jamestown, NY 14701","","","","The employees are not represented by a union.","11/15/2019","","","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=7002","715 Falconer St, Jamestown, NY 14701, USA",42.1149055,-79.2101312
"Residential Treatment Center (Gustavus Adolphus Child and  Family Services, Inc.)","200 Gustavus Avenue, Jamestown, NY 14701","","","","The employees are not represented by a union.","11/15/2019","","","","https://labor.ny.gov/app/warn/details.asp?id=7003","200 Gustavus Ave, Jamestown, NY 14701, USA",42.1159061,-79.2106159
"Learning Center (Gustavus Adolphus Child and Family Services,  Inc.)","210 Gustavus Avenue, Jamestown, NY 14701","","","","New York State United Teachers","11/15/2019","","","","https://labor.ny.gov/app/warn/details.asp?id=7004","210 Gustavus Ave, Jamestown, NY 14701, USA",42.1161496,-79.2109031
"Mountain States Rosen Company (Hunts Point Co Op Markets)","355 Food Center Drive, Bronx,  NY 10474","","","","UFCW Local 342","11/20/2019","","","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=7005","355 Food Center Dr, The Bronx, NY 10474, USA",40.8057385,-73.874985
"Home Box Office, Inc.","30 Hudson Yards, New York, NY 10001","American premium channel owned by the Home Box Office, Inc.","12","1,173","The employees are not represented by a union.","10/22/2019","-----","Merger","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6998","30 Hudson Yards, New York, NY 10001, USA",40.7541644,-74.0009082
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","1","-----","The employees are not represented by a union.","11/12/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6996","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"Plated.","111 W. 19th Street, 3rd Floor, New York, NY 10011","American ingredient-and-recipe meal kit service","128","128","The employees are not represented by a union.","11/12/2019","February 10, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6997","111 W 19th St 3rd Floor, New York, NY 10011, USA",40.7410521,-73.9952147
"Cayuga Operating Company LLC (Heorot Power)","228 Cayuga Drive, Lansing, NY 14882","Power station","44","44","International Brotherhood of Electrical Workers, Local 10","7/31/2019","To be determined","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6995","228 Cayuga Dr, Lansing, NY 14882, USA",42.6052792,-76.6157492
"Transform SR LLC (Sears Unit #01984)","S 3701 McKinley Parkway, Buffalo, NY 14219","Retail store","45","45","The employees are not represented by a union.","11/8/2019","February 16, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6992","3701 McKinley Pkwy, Blasdell, NY 14219, USA",42.7842587,-78.8090358
"Transform KM LLC (Kmart Unit #03862)","5151 Sunrise Highway, Bohemia, NY 11716","Retail store","78","78","The employees are not represented by a union.","11/8/2019","February 16, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6993","5151 Sunrise Hwy, Bohemia, NY 11716, USA",40.7641522,-73.0945731
"Transform KM LLC (Sidney - Kmart Unit #07676)","171 Delaware Avenue, Sidney, NY 13838","Retail store","84","84","The employees are not represented by a union.","11/8/2019","February 16, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6994","171 Delaware Ave, Sidney, NY 13838, USA",42.29635,-75.4109823
"Forever 21 (Store #0614)","World Trade Center, 185 Greenwich Street, Ste. LL4435","Retail Store","66","126 (Total employees affected at both sites)","The employees are not represented by a union.","11/1/2019","February 4, 2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6990","185 Greenwich St, New York, NY 10007, USA",40.7115663,-74.0114261
"Barneys New York","575 5th Avenue, New York, NY 10017","Retail","165","165","New York New Jersey Regional Joint Board Workers United A/W SEIU","10/16/2019","December 15, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6991","575 5th Ave, New York, NY 10017, USA",40.7563205,-73.9782735
"Damiano Corp of Jamaica d/b/a McDonald's","166-30 Jamaica Ave, Jamaica, NY 11432","Restaurant","23","23","The employees are not represented by a union.","10/30/2019","November 30, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6989","166-30 Jamaica Ave, Jamaica, NY 11432, USA",40.7060016,-73.7928602
"Marvell Semiconductor, Inc. (East Fishkill office)","2070 Route 52, Hopewell Junction, NY 12533","Global semiconductor company","23","-----","The employees are not represented by a union.","11/5/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6988","2070 NY-52, Hopewell Junction, NY 12533, USA",41.5430563,-73.8258807
"LSC Communications US, LLC (Dover Publications office)","31 East 2nd Street, Mineola, NY 11501","Commercial printing company","23","59","The employees are not represented by a union.","11/7/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6987","31 E 2nd St, Mineola, NY 11501, USA",40.7426048,-73.6328422
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","1 (employee is a remote worker)","------","The employee is not represented by a union.","10/29/2019","------","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6981","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","3","------","The employees are not represented by a union.","10/30/2019","------","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6982","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","2","------","The employees are not represented by a union.","10/31/2019","------","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6983","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"L3Harris Technologies","600 Third Avenue, New York, NY 10016","A global defense technology leader","34","-----","The employees are not represented by a union.","10/28/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6979","600 3rd Ave, New York, NY 10016, USA",40.7493238,-73.9759092
"IPRO Headquarters","1979 Marcus Avenue, Suite 105, Lake Success, New York 11042","Health Care Service Contracts","136","228","The employees are not represented by a union.","10/31/2019","-----","End of one of IPRO’s core contracts","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6980","1979 Marcus Ave # 105, New Hyde Park, NY 11042, USA",40.7552251,-73.6934286
"Lord + Taylor","1825 Palisades Center Drive, West Nyack, NY 10994","Retail store","91","91","The employees are not represented by a union.","10/31/2019","1/31/2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6975","1825 Palisades Center Dr, West Nyack, NY 10994, USA",41.0970061,-73.9535386
"Bethany Nursing Home & HRF, Inc. and Bethany Retirement Home, Inc.","(collectively Bethany Village), 3005 Watkins Road","Food service operations unit","52","52","The employees are not represented by a union.","10/28/2019","2/8/2020","Bethany Village will be contracting with Morrison Community Living, a division of Morrison Management Specialists, Inc.","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6976","3005 Watkins Rd, Horseheads, NY 14845, USA",42.1831981,-76.8335129
"Dexia Credit Local, New York Branch","445 Park Avenue, New York, NY 10022","Bank","33","71","The employees are not represented by a union.","9/3/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6977","445 Park Ave, New York, NY 10022, USA",40.7610924,-73.9705667
"Eastman Kodak Company (Kodak Office)","343 State Street, Rochester, NY 14650","Photographic equipment and Supplies","2 (one employee is a remote worker)","------","The employees are not represented by a union.","10/23/2019","------","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6973","Kodak Tower, 343 State St, Rochester, NY 14650, USA",43.1608082,-77.6196475
"iPic Entertainment Inc.","1 Hamilton Street, Dobbs Ferry, NY 10522","Theater company","126","126","The employees are not represented by a union.","10/29/2019","November 11, 2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6974","1 Hamilton St, Dobbs Ferry, NY 10522, USA",41.0040817,-73.8572593
"Macquarie Holdings (U.S.A.) Inc.","125 W. 55th Street, New York, NY 10019","Fincanial services (US Cash Equities Division)","86","-----","The employees are not represented by a union.","10/29/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6971","125 W 55th St, New York, NY 10022, USA",40.7635461,-73.9790278
"Cascades Tissue Group","148 Hudson River Road, Waterford, NY 12188","Tissue manufacturing and conversion company","96","96","The employees are not represented by a union.","10/29/2019","3/27/2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6972","148 Hudson River Rd, Waterford, NY 12188, USA",42.8092365,-73.6691446
"CONMED Corporation and Buffalo Filter, LLC","5900 Genesee Street, Lancaster, NY 14086","Medical equipment manufacturer","54","96","The employees are not represented by a union.","10/24/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6967","5900 Genesee St, Lancaster, NY 14086, USA",42.9464039,-78.6336676
"HMS Ferries, Inc. (HMS Global Maritime LLC)","10 South Street, New York, NY 10004","Full-service marine management company","29","29","International Organization of Masters, Mates & Pilots","10/9/2019","10/31/2019","Loss of contract to continue services at the Governors Island site","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6964","10 South St, New York, NY 10004, USA",40.7010846,-74.012248
"Nordstrom (Rack Store at Skyview Center (Store 512)","4024 College Point Blvd., Suite D417, Flushing, NY 11354","Retail Store","42","42","The employees are not represented by a union.","10/25/2019","1/31/2020","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6965","4024 College Point Blvd D417, Flushing, NY 11354, USA",40.7573044,-73.835146
"AmTrust Financial Services, Inc.","600 Essjay Drive, Williamsville, NY 14221","Insurance","39","74","The employees are not represented by a union.","10/23/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6966","600 Essjay Rd, Williamsville, NY 14221, USA",42.9692989,-78.7370104
"Home Box Office, Inc.","300 New Highway, Hauppauge, NY 11778","American premium channel","64","157","Radio and Television Broadcast Engineers Union Local 1212 (IBEW)","8/1/2019","-----","Merger","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6960","300 New Hwy, Hauppauge, NY 11788, USA",40.8217978,-73.2584863
"Home Box Office. Inc.","300 New Highway, Hauppauge, NY 11778","American premium channel","64","157","Radio and Television Broadcast Engineers Union Local 1212 (IBEW)","8/1/2019","-----","Merger","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6961","300 New Hwy, Hauppauge, NY 11788, USA",40.8217978,-73.2584863
"Barneys New York","575 5th Avenue, New York, NY 10017","Retail","165","165","New York New Jersey Regional Joint Board Workers United A/W SEIU","10/16/2019","11/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6962","575 5th Ave, New York, NY 10017, USA",40.7563205,-73.9782735
"Del Frisco's Grille","160 Walt Whitman Road, Suite 1108B, Huntington Station, NY 11746","Full service restaurant","72","72","The employees are not represented by a union.","10/9/2019","12/23/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6957","160 Walt Whitman Rd #1108B, Huntington Station, NY 11746, USA",40.8227586,-73.4097335
"Premier Paratransit LLC","940 Remsen Avenue, Brooklyn, NY 11236","Full service transportation business geared towards the physically challenged.","303","303","Local 713 International Brotherhood of Trade Unions","10/17/2019","12/31/2019","Loss of contract with the New York City Transit Authority","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6956","940 Remsen Ave, Brooklyn, NY 11236, USA",40.6451774,-73.9120727
"Cartoon Network Enterprises","30 Hudson Yards, New York, NY 10001","Media services","7","12","The employees are not represented by a union.","10/17/2019","-----","Economic","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6954","30 Hudson Yards, New York, NY 10001, USA",40.7541644,-74.0009082
"EmblemHealth Services Company, LLC","55 Water St., New York, NY 10041","Health claims processing","60","1,241","Local 153 Office & Professional Employees International Union","10/16/2019","January 14, 2020","Relocation of claims processing work","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6952","55 Water St, New York, NY 10041, USA",40.7034095,-74.0097809
"ER Select LLC at St. James Mercy Hospital","411 Canisteo Street, Hornell, NY 14843","Professional Employer Organization","352","352","The employees are not represented by a union.","10/15/2019","-----","Termination of contract with St. James Mercy Hospital.","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6953","411 Canisteo St, Hornell, NY 14843, USA",42.3137289,-77.6604598
"DHR Restaurant Co. LLC, aka Rare Bar & Grill Murray Hill","303 Lexington Avenue, New York, NY 10016","Restaurant","47 remaining employees. The seasonal rooftop closed on 9/30/2019.","47","The employees are not represented by a union.","6/28/2019","2/29/2020","Seasonal venue","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6948","303 Lexington Ave, New York, NY 10016, USA",40.7484439,-73.9780391
"ACCO Brands USA LLC","941 Acco Way, Ogdensburg, NY 13669","Manufacturing operations","62","106","United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, Local 4-503","9/23/2019","May 1, 2020","Termination of Manufacturing Operations","Plant Unit Closing","https://labor.ny.gov/app/warn/details.asp?id=6949","941 Acco Way, Ogdensburg, NY 13669, USA",44.7214577,-75.4353317
"Barneys New York","575 5th Avenue, New York, NY 10017","Retail","785 affected employees for all five sites","785","New York New Jersey Regional Joint Board Workers United A/W SEIU","10/16/2019","11/1/2019","Economic","Plant Closing","https://labor.ny.gov/app/warn/details.asp?id=6950","575 5th Ave, New York, NY 10017, USA",40.7563205,-73.9782735
"PRWT Services, Inc.","1150 South Avenue, Staten Island, NY 10314","Data Processing Services","117","117","The employees are not represented by a union.","9/20/2019","-----","Contracted work is being relocated by contracting entity","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6951","1150 South Ave, Staten Island, NY 10314, USA",40.6120216,-74.1777585
"Home Box Office. Inc. (HBO Service Corp.)","30 Hudson Yards, New York, NY 10001","American premium channel","32","1176","The employees are not represented by a union.","10/2/2019","-----","Merger","Plant Layoff","https://labor.ny.gov/app/warn/details.asp?id=6947","30 Hudson Yards, New York, NY 10001, USA",40.7541644,-74.0009082
